time,Z7,Z6,Z5,Z4,Z3,Z2,Z1,Z0,X3,X2,X1,X0,Y3,Y2,Y1,Y0
2.5e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.500000000000001e-09,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.25e-08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.75e-08,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2.25e-08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.7499999999999998e-08,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.2500000000000006e-08,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3.7500000000000005e-08,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
4.2500000000000003e-08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4.75e-08,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5.25e-08,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
5.7500000000000005e-08,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
6.250000000000001e-08,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6.75e-08,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
7.250000000000001e-08,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
7.75e-08,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
8.25e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.750000000000001e-08,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
9.25e-08,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
9.75e-08,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1
1.025e-07,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1.075e-07,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
1.1250000000000001e-07,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
1.175e-07,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1
1.2250000000000002e-07,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1.275e-07,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
1.325e-07,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
1.375e-07,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1
1.425e-07,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1
1.4750000000000002e-07,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1
1.525e-07,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1
1.575e-07,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
1.625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.675e-07,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1.7250000000000002e-07,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1.775e-07,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0
1.825e-07,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1.875e-07,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
1.925e-07,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
1.9750000000000001e-07,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0
2.025e-07,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2.075e-07,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
2.125e-07,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
2.175e-07,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0
2.2250000000000001e-07,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0
2.2750000000000002e-07,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0
2.325e-07,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0
2.375e-07,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0
2.425e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2.4749999999999996e-07,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1
2.5249999999999996e-07,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
2.5749999999999997e-07,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1
2.625e-07,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
2.675e-07,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1
2.725e-07,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1
2.775e-07,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1
